"Ticker","CompanyName","Sector","Industry","Signal","Final_rank","Quality","Momentum","PER","NShares","CP","MCap","Slope","FCF","Debt","ROA","FCF2D","EV","FCF2EV","MomentumValue"
"AB","Alliancebernstein Holding LP","Financial Services","Asset Management","HOLD",54,54,45,13.869625520111,97602235,40,3904089400,0.762036825713761,0,0,0.12198,0,4017475328,0,0.793868232834879
"ABR","Arbor Realty Trust","Real Estate","REIT—Mortgage","HOLD",53,46,52,11.3707387989218,116286765,16.0100002288818,1861751134.26593,0.742687380147059,0,5986865152,0.02822,0,7846578688,0,1.46655964417179
"A","Agilent Technologies","Healthcare","Diagnostics & Research","BUY",52,49,48,46.5306108347673,303685919,120.839996337891,36697405339.8289,0.348360451887333,876249984,2675000064,0.07503,3.05278186915208,NA,0,0.87236335457223
"ACN","Accenture Plc","Technology","Information Technology Services","BUY",51,53,43,31.662720448872,634592031,267.549987792969,169785090147.565,0.229239971860299,8584699904,3474390016,0.11569,0.404718866687597,NA,0,0.717914082470622
"ABT","Abbott Laboratories","Healthcare","Medical Devices","HOLD",49.5,44,51,47.1514169568783,1758154311,118.019996643066,207497365882.213,0.159735368378358,5325374976,19889999872,0.049429998,3.73494823587799,NA,0,1.10044493196781
"AGCO","Agco Corp","Industrials","Farm & Heavy Construction Machinery","HOLD",49.5,45,50,24.1327444431001,62107767,136.350006103516,8468394409.52573,1.25370979239844,738800000,1798599936,0.04858,2.43448827287493,NA,0,1.05252433239178
"AME","Amtek Inc","Industrials","Specialty Industrial Machinery","BUY",48,51,42,32.5755961693883,229459490,122.809997558594,28179919406.6962,0.380728656993033,1160934912,2586845952,0.06491,2.22824374154061,NA,0,0.583608583157727
"AJRD","Aerojet Rocketdyne Holdings","Industrials","Aerospace & Defense","BUY",47,43,46,28.3072299267872,70579036,46.9900016784668,3316509020.10457,0.238497746715459,716649984,673400000,0.047280002,0.939649780275443,3123518208,4.35849895728177,0.833035456432222
"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","HOLD",46,33,53,13.7617606132635,17067869,181.380004882812,3095770162.5592,1.05090662961667,398237504,2372400128,0.0771,5.95724939055464,5856033792,14.7048777003183,1.51037032515914
"AEM","Agnico-Eagle Mines Ltd","Basic Materials","Gold","SELL",45,47,35,27.9333332606724,242301392,58.6599998474121,14213399617.7477,-0.612408718885807,473632384,1685516032,0.0634,3.55870098612176,NA,0,0.382999718697228
"AJG","Arthur J. Gallagher & Company","Financial Services","Insurance Brokers","BUY",44,32,47,29.5761907668341,191707667,124.220001220703,23813926628.7581,0.33785282266011,732987520,5019700224,0.0334,6.84827515753611,NA,0,0.83933637038659
"ACA","Arcosa Inc","Industrials","Infrastructure Operations","BUY",43,29.5,49,26.2844033197525,47545108,57.2999992370605,2724334652.12596,0.391673088206108,120625000,2.83e+08,0.04152,2.34611398963731,3018573568,25.0244440870466,0.990058749114908
"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers—General","HOLD",41.5,48,30,37.8897049847771,1737645242,103.059997558594,179081714398.222,0.187103000635519,16861124608,87096999936,0.081870005,5.16555105076891,NA,0,0.32461664601032
"ALLE","Allegion Plc","Industrials","Security & Protection Services","HOLD",41.5,50,28,35.8849562023242,90241435,121.650001525879,10977870705.4475,0.334635820281652,377912512,1523500032,0.11869001,4.03135642145662,NA,0,0.31425798992294
"ABM","ABM Industries Inc","Industrials","Specialty Business Services","HOLD",39.5,40,34,71.678621355054,61236791,49.9599990844727,3059390022.29604,0.586434049226477,496124992,862600000,0.055159997,1.738674757187,3787125760,7.63341057408372,0.375208881956312
"ACRE","Ares Commercial Real Estate Cor","Real Estate","REIT—Mortgage","HOLD",39.5,34,40,21.0303032036984,31843078,13.8800001144409,441981926.284151,0.765231724586737,0,1431049984,0.01176,0,1816299136,0,0.489385347185738
"ABB","Abb Ltd","Industrials","Electrical Equipment & Parts","HOLD",37.5,41,32,12.6538147586012,1657363765,30.8500003814697,51129672782.4841,0.368056175329424,5889625088,7123999744,0.02696,1.20958458943592,NA,0,0.36590845169042
"ALG","Alamo Group","Industrials","Farm & Heavy Construction Machinery","BUY",37.5,36,37,30.6443505706149,11535008,146.479995727539,1689647922.55713,0.508564858687262,157925504,299631008,0.054190002,1.89729334661487,1994521984,12.6295115955432,0.408655716169976
"AAP","Advance Auto Parts Inc","Consumer Cyclical","Specialty Retail","HOLD",36,37,33,25.4523803539971,64757624,181.729995727539,11768402732.8456,0.315511246541165,621665152,3510071040,0.043309998,5.64624063084044,NA,0,0.366691465064375
"ALB","Albemarle Corp","Basic Materials","Specialty Chemicals","HOLD",35,25.5,44,41.6562513871626,116177572,146.630004882812,17035117949.6333,0.819795557284158,-51563000,3711119872,0.03384,99,NA,0,0.778192367924876
"AGI","Alamos Gold Inc","Basic Materials","Gold","SELL",33.5,28,36,21.1413049179575,391040748,7.78000020980835,3042297101.48361,-0.57429780588059,6225000,2900000,0.04161,0.465863453815261,2869131264,460.904620722892,0.388275610188379
"ALL","Allstate Corp","Financial Services","Insurance—Property & Casualty","HOLD",33.5,42,22,6.51935288700873,301243967,112.849998474121,33995381216.2882,0.3967423719105,2698874880,8.336e+09,0.043309998,3.08869450072469,NA,0,0.189272470941385
"AIT","Applied Industrial Technologies","Industrials","Industrial Distribution","HOLD",32,35,25,NA,38334219,88.7300033569336,3401395380.55543,0.754934539806237,344348640,861713984,0.057589997,2.50244631138953,4011516672,11.6495789616012,0.242595614564519
"AIZ","Assurant Inc","Financial Services","Insurance—Specialty","HOLD",31,19,39,20.3060203060203,57236012,142,8127513704,0.320797237368965,1316937472,2330599936,0.01102,1.76971191537331,7917427712,6.01199971930026,0.438733299048705
"AG","First Majestic Silver","Basic Materials","Silver","HOLD",29.5,3,54,143.796293823807,211084538,15.5299997329712,3278142818.77435,0.447636867396902,-32256000,173283008,0.02648,99,3427557632,99,1.94762681429316
"AMCR","Amcor Plc","Consumer Cyclical","Packaging & Containers","HOLD",29.5,38,19,36.1341866441428,1552182224,11.3100004196167,17555181604.7616,0.0997193348518763,1334912512,6936999936,0.050619997,5.19659518780509,NA,0,0.160644809585758
"ADM","Archer Daniels Midland","Consumer Defensive","Farm Products","HOLD",28,17,38,17.7523803710938,555850953,55.9199981689453,31083184273.9665,0.445172222764629,-3.209e+09,11068000256,0.02409,99,NA,0,0.43664163055313
"ABEV","Ambev S.A.","Consumer Defensive","Beverages—Brewers","BUY",26.5,52,1,20.538462125338,4396020553,2.67000007629395,11737375211.8998,0.354386919782151,2492232192,869971456,0.0759,0.349073195825247,NA,0,-0.61775221407956
"AEE","Ameren Corp","Utilities","Utilities—Regulated Electric","HOLD",26.5,22,31,23.1399993896484,251741233,80.9899978637695,20388521922.8927,0.0714668308883837,-1.572e+09,11617000448,0.02903,99,NA,0,0.335077260192481
"AJX","Great Ajax Corp","Real Estate","REIT—Mortgage","HOLD",25,39,13,11.0910910147208,21422935,11.0799999237061,237366118.16556,0.438811020871676,0,1126092032,0.02081,0,1429537920,0,0.0666635995456881
"ADC","Agree Realty Corp","Real Estate","REIT—Retail","HOLD",24,10.5,41,38.3965503210309,61891934,66.8099975585938,4134999959.43665,0.0472740634365435,172570000,1252583936,0.02467,7.25841070869792,5458936832,31.6331739699832,0.497458154781851
"AGO","Assured Guaranty Ltd","Financial Services","Insurance—Specialty","HOLD",23,23.5,26,10.0190929695075,72637385,41.9799995422363,3049317389.04924,1.23190330081631,611875008,1.368e+09,0.016180001,2.23575073685637,3693218048,6.03590275744683,0.281560336221411
