"CompanyName","Ticker","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"SAF Tehnika","SAF1R.RG",6.09999990463257,3.48206615447998,3.42466926574707,6.19999980926514,1385.73770491803,4.76218060978123,1241769,13398198,0.386,1473913,0.04413,0.11132,2694512,6256701,16675446,10418745,5917504,2210112,-209004,2001108,766142,6707178,7574790.78157568,2.83094295673703,0.04413,0.149356503016301,15.8031085612243,1.75183343279805,"HOLD",119,93.7007874015748,118,92.9133858267717,127,100
"Honkarakenne Oyj B","HONBS.HE",6.65999984741211,3.85999989509583,3.45000004768372,7.78000020980835,19975.4297520661,4.92702480387097,2561064,35841148,0.48,4700000,0.059899997,0.20634001,833000,1.8e+07,32600000,14600000,7e+06,3050000,-950000,2100000,1050000,15150000,17056685.8492126,5.9016393442623,0.059899997,0.0585918732290606,13.8749996821086,1.72538860839704,"HOLD",116,91.3385826771654,117,92.1259842519685,126,99.2125984251969
"Ponsse Oyj 1","PON1V.HE",38.2999992370605,24,23.4500007629395,38.2999992370605,6383.86776859504,30.5673553372218,8121054,1063341312,1.15,71689000,0.077010006,0.13254,56309124,218926000,473964000,255038000,123611000,59294000,-7921000,51373000,17636000,205202000,311036362.004128,3.69221169089621,0.077010006,0.0483128036315775,33.3043471626614,1.59583330154419,"HOLD",122.5,96.4566929133858,110,86.6141732283465,125,98.4251968503937
"Etteplan Oyj","ETTE.HE",16.7000007629395,9.47999954223633,9.47999954223633,16.7000007629395,7565.23140495868,12.9731404879862,4411980,456134176,0.687,27916000,0.06651,0.20849001,32392876,130844000,217918000,87074000,24407000,17512000,-267000,17245000,5691000,70294000,73680069.3660736,7.47167656464139,0.06651,0.0378068579540069,24.3085891745844,1.76160354106936,"HOLD",111,87.4015748031496,119,93.7007874015748,123.5,97.244094488189
"Merko Ehitus","MRK1T.TL",13.5500001907349,8.76000022888184,8.76000022888184,13.5500001907349,6848.60655737705,10.3593441931928,4335438,226504992,1.299,28217000,0.05909,0.15413,56223876,99480000,256915000,153228000,47480000,45529000,-1839000,43690000,9923000,106438000,58745185.7269192,2.18498100112017,0.05909,0.192887581038391,10.4311009936373,1.54680363432644,"HOLD",125,98.4251968503937,105,82.6771653543307,123.5,97.244094488189
"Rapala VMC Oyj","RAP1V.HE",7.11999988555908,2.70000004768372,2.70000004768372,696,31239.9669421488,16.0763636325016,22287948,332560288,0.04,23100000,0.03401,0.02377,46675000,129900000,272900000,137800000,27900000,14550000,-1300000,13250000,3350000,72300000,158690187.209347,8.92783505154639,0.03401,0.0398423999440366,177.999997138977,2.63703694807976,"HOLD",93.5,73.6220472440945,126,99.2125984251969,122,96.0629921259843
"Harvia Oyj","HARVIA.HE",31,18.0615482330322,16.4500007629395,32.2000007629395,45841.8512396694,23.6456283537809,13278611,613188288,0.82,27672000,0.10572,0.23167999,19666376,96766000,165625000,66436000,27321000,10734000,-848000,9886000,5843000,35249000,411636941,9.01490590646544,0.10572,0.0161222909723938,37.8048780487805,1.71635341555632,"HOLD",104,81.8897637795276,115,90.5511811023622,121,95.2755905511811
"eQ Oyj","EQV1V.HE",18.7000007629395,12.6345176696777,12.5862941741943,19.1499996185303,9134.78512396694,15.9967672805156,8072978,698289088,0.6,31136000,0.2175,0.37102002,21613124,23931000,91476000,67545000,80000,13116000,-4000,13112000,9214000,20257000,150964694.759193,1.82456541628545,0.2175,0.0187773233540777,31.1666679382324,1.48007238992737,"HOLD",121,95.2755905511811,97,76.3779527559055,120,94.488188976378
"Verkkokauppa.com Oyj","VERK.HE",9.0600004196167,5.13906669616699,4.8796501159668,9.6226692199707,133640.79338843,7.01134426337628,18186253,383921824,0.32,20490000,0.07332,0.37924,13562250,133138000,173687000,40549000,43099000,10388000,-324000,10064000,4662000,176009000,164767459.811255,12.8165190604544,0.07332,0.0262136699996508,28.3125013113022,1.76296610946384,"HOLD",95.5,75.1968503937008,120,94.488188976378,119,93.7007874015748
"Fiskars Oyj Abp","FSKRS.HE",15.8800001144409,11.3777780532837,11.3777780532837,15.9288883209229,32597.2231404959,14.3679183455538,9042529,1441968512,0.829,132800000,0.04808,0.08964,157850000,580400000,1.342e+09,757800000,62500000,82500000,-9500000,7.3e+07,24700000,313300000,143595361.554835,7.03515151515152,0.04808,0.050625238618248,19.1556093057188,1.39570310126219,"HOLD",110,86.6141732283465,88,69.2913385826772,118,92.9133858267717
"Tecnotree Oyj","TEM1V.HE",0.637000024318695,0.449999988079071,0.449999988079071,0.759999990463257,583255.380165289,0.6209256200751,111642338,176639472,0.05,18892000,0.26590002,1.15327,4948930,30743000,50650000,19722000,8035000,3210000,-928000,2282000,4281000,14221000,71116172.020996,9.57725856697819,0.26590002,0.012918969775906,12.7400004863739,1.41555564709652,"BUY",106.5,83.8582677165354,91,71.6535433070866,117,92.1259842519685
"Siili Solutions Oyj","SIILI.HE",18.2600002288818,11.5564699172974,10.8680000305176,18.2600002288818,9925.15702479339,13.3525937372003,0,121551768,0.629,7299000,0.056799997,0.20889,15155250,39788000,61363000,21575000,21656000,2874000,-30000,2844000,-49000,19643000,0,13.8441196938065,0.056799997,0.0233974383655201,29.0302070411476,1.58006730078974,"HOLD",87,68.503937007874,108,85.0393700787402,116,91.3385826771654
"Uponor Oyj","UPONOR.HE",19.1800003051758,14.8916501998901,14.1234302520752,19.5600643157959,102597.727272727,17.3426421299454,43875986,1480761600,1.21,1.73e+08,0.09807,0.24258,147750000,446500000,868400000,356800000,1.38e+08,78300000,-14200000,64100000,19900000,280500000,841541424.869888,5.70242656449553,0.09807,0.0432885347648129,15.8512399216329,1.2879701072563,"HOLD",122.5,96.4566929133858,69,54.3307086614173,115,90.5511811023622
"Aspo Oyj","ASPO.HE",8.98999977111816,6.04006671905518,5.77076435089111,9.23999977111816,34882.4628099174,7.87435346398472,19636044,450927584,0.385,35535000,0.03105,0.113970004,59253500,270603000,384100000,113497000,32303000,25065000,-1497000,23568000,6124000,133541000,176528031.065666,10.7960502692998,0.03105,0.0522655983715558,23.3506487561511,1.48839411703128,"HOLD",90,70.8661417322835,98,77.1653543307087,114,89.7637795275591
"Vilkyskiu Pienine","VLP1L.VS",2.74000000953674,1.95000004768372,1.9099999666214,2.79999995231628,4389.60655737705,2.34803280576331,5109335,51370820,0.32,8806000,0.03461,0.11595,7652750,41916000,76845000,34876000,179000,4391000,-409000,3982000,720000,32397000,13999577.9487264,9.54588931906172,0.03461,0.0775148226171979,8.56250002980232,1.40512817565898,"HOLD",98.5,77.5590551181102,89,70.0787401574803,113,88.9763779527559
"Raisio Oyj Vaihto-osake","RAIVV.HE",4.19999980926514,3.09999990463257,3.04999995231628,4.19999980926514,107455.743801653,3.40446281827186,145873616,578172736,0.149,32400000,0.055570003,0.086540006,5400000,45100000,314600000,269500000,21500000,15900000,-5100000,10800000,5600000,53900000,612669159.376816,2.83647798742138,0.055570003,0.0186795387045023,28.1879181829875,1.35483868982988,"HOLD",102,80.3149606299213,81,63.7795275590551,112,88.1889763779528
"SSAB A","SSABAH.HE",4.57999992370605,2.99399995803833,2.45000004768372,4.57999992370605,50196.7685950413,3.24379339296956,683532601,4716645888,0.348,0,-0.0051700003,-0.00856,0,3.4505e+10,8.8601e+10,5.3987e+10,7.051e+09,3.549e+09,-7.21e+08,2.828e+09,3.43e+08,1.6987e+10,3130579260.4306,9.72245703014934,-0.0051700003,0.599578613097698,13.1609193209944,1.5297261148617,"HOLD",78,61.4173228346457,104,81.8897637795276,111,87.4015748031496
"Nokian Renkaat Oyj","TYRES.HE",31.0900001525879,24.883939743042,24.0118389129639,32.003490447998,592202.950413223,28.7118955249629,103163744,4279794944,0.62,245200000,0.03844,0.052259997,337700000,815300000,2336700000,1521400000,504200000,4.29e+08,-31600000,397400000,55900000,413400000,3207360816.70154,1.9004662004662,0.03844,0.092854915994779,50.1451615364321,1.24940023459433,"BUY",117,92.1259842519685,62,48.8188976377953,110,86.6141732283465
"Revenio Group Oyj","REG1V.HE",51.5,37.7727088928223,33.6972351074219,59.5417213439941,62120.2314049587,46.5194826677811,25795989,1364528512,0.502,20054000,0.10092,0.19931999,10486250,44710000,114419000,69710000,28878000,6130000,-440000,5690000,5862000,19811000,1328493433.5,7.29363784665579,0.10092,0.00416993851719531,102.589641434263,1.36341823262208,"HOLD",95.5,75.1968503937008,82,64.5669291338583,109,85.8267716535433
"Solteq Oyj","SOLTEQ.HE",5.3600001335144,1.54583334922791,1.5361111164093,5.54166650772095,75364.8016528926,3.07058307356086,5056572,129975984,0.1,6843000,0.04532,0.077589996,7333000,48172000,74681000,26509000,4877000,2071000,-814000,1257000,622000,16453000,27103226.5951252,23.2602607436021,0.04532,0.00967101737810271,53.600001335144,3.46738549546208,"HOLD",50,39.3700787401575,127,100,108,85.0393700787402
"Cargotec Oyj","CGCBV.HE",45.5200004577637,31.9053955078125,27.2443981170654,46.0999984741211,139083.32231405,35.9519207379049,44376137,3636281088,0.126,272700000,0.030669998,0.00601,149112496,2586600000,3.888e+09,1298700000,484800000,190300000,-46700000,143600000,6500000,872800000,2020001776.55378,13.5922228060956,0.030669998,0.0394908964749427,361.269844902886,1.4267179495273,"HOLD",84,66.1417322834646,92,72.4409448818898,106.5,83.8582677165354
"Qt Group Oyj","QTCOM.HE",93.8000030517578,36.5999984741211,36.5999984741211,94.4000015258789,88810.958677686,61.4851238471417,8108542,2252289280,0.51,19449000,0.19097,0.54791,6221625,31538000,61416000,29878000,22046000,0,0,0,4462000,23819000,760581264.345306,Inf,0.19097,0,183.92157461129,2.56284172028262,"HOLD",51,40.1574803149606,125,98.4251968503937,106.5,83.8582677165354
"Atria Oyj A","ATRAV.HE",11.9399995803833,8.97000026702881,8.90999984741211,11.9399995803833,13771.2148760331,10.3035536915803,9370199,544517248,0.81,88041000,0.02796,0.056500003,69759752,500651000,939535000,422822000,26576000,64921000,-10140000,54781000,6215000,398636000,111880172.128108,7.71169575330017,0.02796,0.100604710321316,14.7407402226954,1.331103592524,"HOLD",98.5,77.5590551181102,76,59.8425196850394,105,82.6771653543307
"Taaleri Oyj","TAALA.HE",9.57999992370605,6.79758405685425,6.41025733947754,9.78000068664551,30466.9917355372,7.64286868828387,13551316,315536832,0.45,21198000,0.048800003,0.10119,28843376,134781000,267990000,134343000,0,9075000,-239000,8836000,5889500,21915000,129821606.246117,14.8519008264463,0.048800003,0.0280030700187799,21.2888887193468,1.40932423101796,"HOLD",84,66.1417322834646,90,70.8661417322835,104,81.8897637795276
"SSAB B","SSABBH.HE",4.08599996566772,2.85199999809265,2.25600004196167,4.12599992752075,589412.909090909,2.93935537338257,683532601,4207907072,0.348,0,-0.0051700003,-0.00856,0,3.4505e+10,8.8601e+10,5.3987e+10,7.051e+09,3.549e+09,-7.21e+08,2.828e+09,3.43e+08,1.6987e+10,2792914184.21877,9.72245703014934,-0.0051700003,0.672068073655406,11.7413792116889,1.43267881079956,"HOLD",79,62.2047244094488,94,74.0157480314961,103,81.1023622047244
"Consti Oyj","CONSTI.HE",13.1999998092651,8.38000011444092,8.38000011444092,13.9499998092651,16451.305785124,10.7824793650099,2330684,105746024,0.69,8942000,0.03972,0.18040001,15273250,95017000,128595000,33578000,24257000,3284000,-297000,2987000,2142000,78098000,30765028.3554573,28.9333130328867,0.03972,0.0282469249151155,19.1304345061814,1.57517895334131,"HOLD",62.5,49.2125984251969,106,83.4645669291339,102,80.3149606299213
"Alma Media Oyj","ALMA.HE",9.10000038146973,7.12951993942261,7.12951993942261,9.4349889755249,15753.5454545455,8.4402779350596,19212330,760485760,1.116,56300000,0.069409996,0.16309999,48037500,129300000,333900000,183600000,4.8e+07,15300000,-1e+05,15200000,6400000,61900000,174832210.328922,8.45098039215686,0.069409996,0.0199872250073427,8.15412220561803,1.27638332717907,"BUY",100,78.740157480315,68,53.5433070866142,100.5,79.1338582677165
"Valmet Oyj","VALMT.HE",31.3600006103516,20.7860641479492,19.340160369873,31.3600006103516,527515.47107438,24.0357343342679,132075277,4847036928,1.54,4.05e+08,0.05617,0.21104999,355592000,2.816e+09,3.959e+09,1.137e+09,2.74e+08,1.14e+08,5e+06,1.19e+08,1e+08,1.167e+09,4141880767.33235,24.7017543859649,0.05617,0.0245510817779352,20.3636367599685,1.50870315742028,"HOLD",69,54.3307086614173,99,77.9527559055118,100.5,79.1338582677165
"Rovio Entertainment Oyj","ROVIO.HE",6.67500019073486,5.8386812210083,4.71612215042114,7.66050672531128,291923.26446281,5.97415914220258,47693915,360295040,0.427,47774000,0.13791001,0.19272,52711376,43031000,208453000,165422000,138874000,17591000,-1084000,16507000,2924000,68493000,318356891.721892,2.4461940765164,0.13791001,0.0458152296517876,15.6323189478568,1.14323764872064,"HOLD",127,100,40,31.496062992126,97.5,76.7716535433071
"Suominen Oyj","SUY1V.HE",5.73999977111816,4.71624183654785,4.47463083267212,5.97261714935303,108275.752066116,5.12215866136157,20927819,372858272,0.52,57217000,0.07832,0.2164,33969876,171499000,317381000,145882000,57877000,17854000,-4411000,13443000,7294000,111085000,120125676.270002,9.60563459168814,0.07832,0.0360539138045461,11.0384610983042,1.21707070376181,"HOLD",113,88.9763779527559,54,42.5196850393701,97.5,76.7716535433071
"Wulff-Yhtiöt Oyj","WUF1V.HE",3.07999992370605,2.33999991416931,2.29999995231628,3.55999994277954,20288.0661157025,2.94462810863148,1974984,30393734,0.32,4257000,0.0641,0.19092,1657625,21093000,35353000,13518000,480000,1439000,-331000,1108000,914000,15314000,6082950.56932068,14.6580958999305,0.0641,0.0364548824438616,9.62499976158142,1.31623933191444,"BUY",92,72.4409448818898,75,59.0551181102362,97.5,76.7716535433071
"PATA Saldus","SMA1R.RG",27,17.7999992370605,17.6000003814697,27,8.37704918032787,21.6983605056513,40476,37297004,3.127,5858599,0.05955,0.17469,2354297,24013183,40161863,16148680,24231,992790,-335963,656827,2016191,15164487,1092852,24.1875754187693,0.05955,0.0176107174721058,8.63447393668052,1.51685399759931,"HOLD",66,51.9685039370079,101,79.5275590551181,97.5,76.7716535433071
"Tikkurila Oyj","TIK1V.HE",33.9000015258789,14.6161708831787,13.3800001144409,34.2999992370605,229048.239669421,24.532443543111,26274755,1507319424,0.97,78032000,0.08931,0.24386999,91303000,260252000,441610000,181358000,91979000,0,0,0,-6823000,113873000,890714234.592094,Inf,0.08931,0,34.9484551813185,2.31934901396735,"HOLD",42.5,33.4645669291339,124,97.6377952755905,94.5,74.4094488188976
"Telia Lietuva","TEL1L.VS",2.03999996185303,1.55499994754791,1.55499994754791,2.07999992370605,28904.3852459016,1.85565572879354,69010526,1320060928,0.096,128534000,0.06751,0.1694,82865752,276941000,608448000,331507000,55941000,32751000,-11786000,20965000,16852000,108603000,140781470.407457,8.45595554334219,0.06751,0.0158818426902186,21.2499996026357,1.31189712582943,"HOLD",93.5,73.6220472440945,73,57.4803149606299,94.5,74.4094488188976
"Tulikivi Oyj A","TULAV.HE",0.296999990940094,0.157000005245209,0.142000004649162,0.46399998664856,346636.272727273,0.229884297764006,38777623,32144872,0.003,3600000,0.020639999,0.025610002,1865000,24700000,32600000,7900000,1300000,1100000,-4e+05,7e+05,3e+05,9300000,11516953.6796784,22.4545454545455,0.020639999,0.0217764127354435,98.9999969800313,1.89171962431611,"HOLD",42.5,33.4645669291339,123,96.8503937007874,93,73.2283464566929
"Metsä Board Oyj A","METSA.HE",9.39999961853027,6.9640417098999,6.55553674697876,9.68741035461426,10187.0578512397,8.27433308688077,173664421,3580219904,0.478,302300000,0.05899,0.124989994,89686912,918700000,2302500000,1383800000,2.14e+08,8.1e+07,-41200000,39800000,49300000,476500000,1632445491.15228,11.341975308642,0.05899,0.0111166355886501,19.6652711684734,1.34979082695146,"HOLD",84,66.1417322834646,79,62.2047244094488,91.5,72.0472440944882
"Linas","LNS1L.VS",0.123999997973442,0.104000002145767,0.096000000834465,0.165000006556511,16591.0655737705,0.111590164484548,5992632,1298734,0.026,751459,0.03305,0.07278,998890,2961577,11762598,8801021,2872683,441905,-2682,439223,434824,4409474,743086.355855584,6.70184089340469,0.03305,0.338193194295368,4.76923069128623,1.19230764822142,"HOLD",114,89.7637795275591,49,38.5826771653543,91.5,72.0472440944882
"Plc Uutechnic Group Oyj","UUTEC.HE",0.589999973773956,0.425999999046326,0.409999996423721,0.605000019073486,31185.0661157025,0.537842977145487,7377996,33228020,0.027,1507000,0.04285,0.13958,1512375,6368000,17726000,11358000,2568000,559500,-159500,4e+05,158000,4039500,4353017.44650435,11.3815907059875,0.04285,0.0120380329613381,21.8518508805169,1.38497646735862,"HOLD",75.5,59.4488188976378,86,67.7165354330709,90,70.8661417322835
"Scanfil Oyj","SCANFL.HE",7.42000007629395,5.40000009536743,5.07999992370605,7.57999992370605,20124.4049586777,6.32247937809337,16738672,496591712,0.57,45196000,0.06297,0.21111,31616028,156315000,339191000,182876000,25845000,9294000,-855000,8439000,3098000,154072000,124200947.517059,16.8189154293092,0.06297,0.0169938398005322,13.0175439934982,1.37407406393556,"HOLD",77,60.6299212598425,84,66.1417322834646,89,70.0787401574803
"Kemira Oyj","KEMIRA.HE",13.1800003051758,10.1680088043213,10.1680088043213,14.189208984375,281227.537190083,12.4931247805761,66089216,2788039936,0.859,380100000,0.04717,0.113290004,136875008,1590400000,2795700000,1192100000,159500000,146400000,-6.6e+07,80400000,22100000,605600000,871055887.048828,10.8633879781421,0.04717,0.0288374635391162,15.3434229396691,1.29622235373896,"BUY",89,70.0787401574803,71,55.9055118110236,87,68.503937007874
"Telia Company","TELIA1.HE",3.70600008964539,2.74025726318359,2.7020001411438,3.74699997901917,1550307.27272727,3.44076339075388,2474431661,15156174848,0.13,0,0.02686,-0.28741,0,1.62729e+11,2.26683e+11,6.2836e+10,8.133e+09,7.995e+09,-4.206e+09,3.789e+09,-2.4488e+10,2.3465e+10,9170243957.48738,20.3538461538462,0.02686,0.249997115894978,28.5076929972722,1.35242779553472,"BUY",80,62.992125984252,80,62.992125984252,87,68.503937007874
"Invalda INVL","IVL1L.VS",8.85000038146973,7.25,7.05000019073486,9.60000038146973,261.704918032787,7.85983601554495,1254736,100230224,0.798,10262000,0.076680005,0.12939,11858125,6329000,80059000,73549000,5534000,1350500,-6500,1344000,-2097500,696000,11104414.0786438,4.6864124398371,0.076680005,0.0134091289669272,11.090226041942,1.22068970778893,"HOLD",105,82.6771653543307,55,43.3070866141732,87,68.503937007874
"United Bankers Oyj","UNIAV.HE",12.5,8.65746307373047,8.46507453918457,13.3999996185303,3330.81818181818,10.7312510072692,0,124679472,0.59,0,0.10808,0.1713,0,19329000,58417000,38797000,0,643500,-352000,291500,1116000,8215000,0,30.037296037296,0.10808,0.00233799514325823,21.1864406779661,1.44384098361667,"HOLD",62.5,49.2125984251969,96,75.5905511811024,85,66.9291338582677
"Pieno Zvaigzdes","PZV1L.VS",1.51999998092651,1.22000002861023,1.20000004768372,1.51999998092651,6560.45901639344,1.34827869055701,7598694,91098000,0.17,14481000,0.07653,0.24746999,4311625,39470000,72910000,33440000,3553000,3746000,-1925000,1821000,1422000,40159000,11550014.7350664,10.5365723438334,0.07653,0.0199894618981756,8.94117635839126,1.24590159449261,"HOLD",97,76.3779527559055,61,48.0314960629921,84,66.1417322834646
"F-Secure Oyj","FSC1V.HE",4.09000015258789,3.36105012893677,3.36105012893677,4.15000009536743,86384.4380165289,3.77202358718746,74372213,635428800,0.08,23970000,0.052810002,0.16247,30222750,155473000,237803000,82330000,51380000,20880000,-2139000,18741000,0,0,304182362.518299,7.44602490421456,0.052810002,0.0294934696066656,51.1250019073486,1.21688162796957,"BUY",101,79.5275590551181,53,41.7322834645669,83,65.3543307086614
"LHV Group","LHV1T.TL",22.810001373291,13.3305196762085,13.2811470031738,24.58740234375,9626.32786885246,19.339370547748,23322715,-757476032,1.29,0,0.0099599995,0.17658001,0,4726131000,4971407000,236794000,2352284000,-360126000,1223000,-358903000,17839000,33174000,531991161.178875,-13.123548424718,0.0099599995,0.473814331857302,17.6821716072023,1.71111118901095,"HOLD",37,29.1338582677165,114,89.7637795275591,82,64.5669291338583
"Harju Elekter","HAE1T.TL",8.30000019073486,4.44000005722046,4.44000005722046,9.07999992370605,11778.5819672131,5.94975410914812,10259150,164045600,0.31,9257000,0.03663,0.07876,757125,42078000,115475000,73547000,2843000,1297000,-2756000,-1459000,1165000,35242000,85150946.9567776,32.4425597532768,0.03663,-0.0088938685341149,26.7741941636608,1.86936938823619,"HOLD",29,22.8346456692913,121,95.2755905511811,80.5,63.3858267716535
"Siguldas CMAS","SCM1R.RG",4.5,4.09999990463257,3.72000002861023,4.80000019073486,72.5081967213115,4.13622949553318,146730,1540692,0.246,177254,0.04498,0.066939995,58162,122199,1728769,1606570,360288,124649,-1205,123444,-24144,336664,660285,0.980344808221486,0.04498,0.0801224384886791,18.2926829268293,1.09756100113941,"BUY",118,92.9133858267717,32,25.1968503937008,80.5,63.3858267716535
